Algoritmo,NumThreads,Tempo(ns),Tempo(ms)
Bubble Sort Serial,1,3493900,3
Counting Sort Serial,1,2063300,2
Merge Sort Serial,1,481000,0
Quick Sort Serial,1,230100,0
Bubble Sort Paralelo,1,2017100,2
Counting Sort Paralelo,1,5177300,5
Merge Sort Paralelo,1,232400,0
Quick Sort Paralelo,1,114000,0
Bubble Sort Paralelo,2,3337700,3
Counting Sort Paralelo,2,6664300,6
Merge Sort Paralelo,2,216800,0
Quick Sort Paralelo,2,405500,0
Bubble Sort Paralelo,4,1214700,1
Counting Sort Paralelo,4,6577700,6
Merge Sort Paralelo,4,188800,0
Quick Sort Paralelo,4,632900,0
Bubble Sort Paralelo,8,1922800,1
Counting Sort Paralelo,8,8383300,8
Merge Sort Paralelo,8,168300,0
Quick Sort Paralelo,8,881300,0
Bubble Sort Paralelo,16,2179400,2
Counting Sort Paralelo,16,7554300,7
Merge Sort Paralelo,16,193500,0
Quick Sort Paralelo,16,1494400,1
