Algoritmo,NumThreads,Tempo(ns),Tempo(ms)
Bubble Sort Serial,1,7691634700,7691
Counting Sort Serial,1,1583900,1
Merge Sort Serial,1,10059800,10
Quick Sort Serial,1,5262300,5
Bubble Sort Paralelo,1,7884078000,7884
Counting Sort Paralelo,1,37162700,37
Merge Sort Paralelo,1,12390800,12
Quick Sort Paralelo,1,5466700,5
Bubble Sort Paralelo,2,3866501500,3866
Counting Sort Paralelo,2,37805300,37
Merge Sort Paralelo,2,7505300,7
Quick Sort Paralelo,2,3786100,3
Bubble Sort Paralelo,4,1771072800,1771
Counting Sort Paralelo,4,35112600,35
Merge Sort Paralelo,4,7262000,7
Quick Sort Paralelo,4,3850100,3
Bubble Sort Paralelo,8,1050135200,1050
Counting Sort Paralelo,8,44550500,44
Merge Sort Paralelo,8,7054900,7
Quick Sort Paralelo,8,2774200,2
Bubble Sort Paralelo,16,663950300,663
Counting Sort Paralelo,16,27438400,27
Merge Sort Paralelo,16,4188900,4
Quick Sort Paralelo,16,2380700,2
