Algoritmo,NumThreads,Tempo(ns),Tempo(ms)
Bubble Sort Serial,1,155900,0
Counting Sort Serial,1,660300,0
Merge Sort Serial,1,50400,0
Quick Sort Serial,1,25300,0
Bubble Sort Paralelo,1,376800,0
Counting Sort Paralelo,1,2883300,2
Merge Sort Paralelo,1,98100,0
Quick Sort Paralelo,1,41300,0
Bubble Sort Paralelo,2,404400,0
Counting Sort Paralelo,2,2980900,2
Merge Sort Paralelo,2,95800,0
Quick Sort Paralelo,2,279500,0
Bubble Sort Paralelo,4,465000,0
Counting Sort Paralelo,4,3216800,3
Merge Sort Paralelo,4,70800,0
Quick Sort Paralelo,4,532400,0
Bubble Sort Paralelo,8,712800,0
Counting Sort Paralelo,8,4574600,4
Merge Sort Paralelo,8,53700,0
Quick Sort Paralelo,8,816100,0
Bubble Sort Paralelo,16,1108700,1
Counting Sort Paralelo,16,6164600,6
Merge Sort Paralelo,16,43700,0
Quick Sort Paralelo,16,1328600,1
