Algoritmo,NumThreads,Tempo(ns),Tempo(ms)
Bubble Sort Serial,1,36557700,36
Counting Sort Serial,1,2097000,2
Merge Sort Serial,1,1408000,1
Quick Sort Serial,1,640300,0
Bubble Sort Paralelo,1,28858300,28
Counting Sort Paralelo,1,7352300,7
Merge Sort Paralelo,1,1169200,1
Quick Sort Paralelo,1,521600,0
Bubble Sort Paralelo,2,19838700,19
Counting Sort Paralelo,2,9085500,9
Merge Sort Paralelo,2,1564300,1
Quick Sort Paralelo,2,644000,0
Bubble Sort Paralelo,4,15792100,15
Counting Sort Paralelo,4,6463000,6
Merge Sort Paralelo,4,1128100,1
Quick Sort Paralelo,4,807800,0
Bubble Sort Paralelo,8,14050700,14
Counting Sort Paralelo,8,6901300,6
Merge Sort Paralelo,8,1204100,1
Quick Sort Paralelo,8,992900,0
Bubble Sort Paralelo,16,12838200,12
Counting Sort Paralelo,16,10850900,10
Merge Sort Paralelo,16,1766100,1
Quick Sort Paralelo,16,1086100,1
