Algoritmo,NumThreads,Tempo(ns),Tempo(ms)
Bubble Sort Serial,1,769300,0
Counting Sort Serial,1,7196900,7
Merge Sort Serial,1,998400,0
Quick Sort Serial,1,850600,0
Bubble Sort Paralelo,1,7915500,7
Counting Sort Paralelo,1,23256100,23
Merge Sort Paralelo,1,1047800,1
Quick Sort Paralelo,1,1172100,1
Bubble Sort Paralelo,2,2548300,2
Counting Sort Paralelo,2,10553300,10
Merge Sort Paralelo,2,108400,0
Quick Sort Paralelo,2,7343700,7
Bubble Sort Paralelo,4,1089300,1
Counting Sort Paralelo,4,19973500,19
Merge Sort Paralelo,4,146000,0
Quick Sort Paralelo,4,1265300,1
Bubble Sort Paralelo,8,1242000,1
Counting Sort Paralelo,8,12910100,12
Merge Sort Paralelo,8,117000,0
Quick Sort Paralelo,8,3242700,3
Bubble Sort Paralelo,16,2508700,2
Counting Sort Paralelo,16,10302200,10
Merge Sort Paralelo,16,95800,0
Quick Sort Paralelo,16,1563800,1
