Algoritmo,NumThreads,Tempo(ns),Tempo(ms)
Bubble Sort Serial,1,2981200,2
Counting Sort Serial,1,1874900,1
Merge Sort Serial,1,518400,0
Quick Sort Serial,1,263600,0
Bubble Sort Paralelo,1,2381100,2
Counting Sort Paralelo,1,8929000,8
Merge Sort Paralelo,1,180700,0
Quick Sort Paralelo,1,143600,0
Bubble Sort Paralelo,2,3082800,3
Counting Sort Paralelo,2,9610600,9
Merge Sort Paralelo,2,328300,0
Quick Sort Paralelo,2,955400,0
Bubble Sort Paralelo,4,2442200,2
Counting Sort Paralelo,4,10430500,10
Merge Sort Paralelo,4,250500,0
Quick Sort Paralelo,4,789100,0
Bubble Sort Paralelo,8,2003000,2
Counting Sort Paralelo,8,9952300,9
Merge Sort Paralelo,8,198000,0
Quick Sort Paralelo,8,1024800,1
Bubble Sort Paralelo,16,3759600,3
Counting Sort Paralelo,16,10700400,10
Merge Sort Paralelo,16,187700,0
Quick Sort Paralelo,16,1710500,1
